global_seed,Outcome Type,Outcome Name,Pre-processing script name,Model script name,Demog Comparison,Prop(Demog),TP,TN,FP,FN,Accuracy,Precision,Recall,F1,ROC AUC Score
1,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 239 3, 162 2, 99 4",84,67,50,49,0.604,0.5775862068965517,0.5726495726495726,0.575107296137339,0.6226463594884648
1,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"550 1, 216 3, 146 2, 88 4",84,66,47,53,0.6,0.5546218487394958,0.584070796460177,0.5689655172413793,0.6190814546863898
1,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 190 3, 137 2, 73 4",55,66,30,99,0.484,0.4,0.6875,0.5057471264367817,0.5696699134199134
1,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"650 1, 169 3, 116 2, 65 4",93,47,79,31,0.56,0.6025641025641025,0.373015873015873,0.4607843137254902,0.6108550947260624
1,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 147 3, 97 2, 56 4",64,66,40,80,0.52,0.4520547945205479,0.6226415094339622,0.5238095238095238,0.5880503144654089
1,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"750 1, 125 3, 79 2, 46 4",88,52,75,35,0.56,0.5977011494252874,0.4094488188976378,0.48598130841121495,0.6164138019332949
1,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 101 3, 68 2, 31 4",72,75,40,63,0.588,0.5434782608695652,0.6521739130434783,0.5928853754940712,0.6380676328502416
1,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"850 1, 78 3, 49 2, 23 4",80,66,58,46,0.584,0.5892857142857143,0.532258064516129,0.5593220338983049,0.5854454685099847
1,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 55 3, 31 2, 14 4",68,73,47,62,0.564,0.5407407407407407,0.6083333333333333,0.5725490196078431,0.5907051282051282
1,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"950 1, 28 3, 14 2, 8 4",78,76,51,45,0.616,0.628099173553719,0.5984251968503937,0.6129032258064517,0.6222392932590743
1,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,1000 1,82,42,93,33,0.496,0.56,0.3111111111111111,0.4,0.5957487922705315
23,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 249 3, 153 2, 98 4",81,58,48,63,0.556,0.4793388429752066,0.5471698113207547,0.5110132158590308,0.562303459119497
23,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"550 1, 226 3, 133 2, 91 4",85,55,63,47,0.56,0.5392156862745098,0.4661016949152542,0.5,0.5835901386748845
23,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 201 3, 121 2, 78 4",73,67,51,59,0.56,0.5317460317460317,0.5677966101694916,0.5491803278688525,0.5488572162300975
23,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"650 1, 174 3, 106 2, 70 4",69,61,50,70,0.52,0.46564885496183206,0.5495495495495496,0.5041322314049588,0.5575215503273057
23,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 152 3, 91 2, 57 4",75,63,48,64,0.552,0.49606299212598426,0.5675675675675675,0.5294117647058824,0.5909002527707563
23,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"750 1, 131 3, 72 2, 47 4",63,78,35,74,0.564,0.5131578947368421,0.6902654867256637,0.5886792452830188,0.6266391060009042
23,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 105 3, 56 2, 39 4",67,65,58,60,0.528,0.52,0.5284552845528455,0.5241935483870968,0.5753152807118623
23,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"850 1, 80 3, 40 2, 30 4",83,61,61,45,0.576,0.5754716981132075,0.5,0.5350877192982456,0.6079661885245902
23,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 48 3, 32 2, 20 4",90,50,87,23,0.56,0.684931506849315,0.36496350364963503,0.4761904761904763,0.6279310122085137
23,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"950 1, 25 3, 13 2, 12 4",71,72,48,59,0.572,0.549618320610687,0.6,0.5737051792828685,0.5905128205128204
23,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,1000 1,86,54,73,37,0.56,0.5934065934065934,0.4251968503937008,0.4954128440366973,0.5448434799308622
2,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 242 3, 158 2, 100 4",82,65,53,50,0.588,0.5652173913043478,0.5508474576271186,0.5579399141630901,0.5902028762198254
2,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"550 1, 213 3, 147 2, 90 4",64,78,31,77,0.568,0.5032258064516129,0.7155963302752294,0.5909090909090909,0.6504652222005336
2,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 188 3, 136 2, 76 4",75,65,55,55,0.56,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5773717948717949
2,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"650 1, 164 3, 120 2, 66 4",84,47,78,41,0.524,0.5340909090909091,0.376,0.4413145539906103,0.551744
2,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 142 3, 104 2, 54 4",51,70,43,86,0.484,0.44871794871794873,0.6194690265486725,0.5204460966542751,0.5230928234610167
2,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"750 1, 114 3, 88 2, 48 4",85,56,73,36,0.564,0.6086956521739131,0.43410852713178294,0.5067873303167422,0.5799859055673009
2,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 87 3, 71 2, 42 4",62,78,46,64,0.56,0.5492957746478874,0.6290322580645161,0.5864661654135339,0.5873655913978495
2,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"850 1, 66 3, 53 2, 31 4",70,69,58,53,0.556,0.5655737704918032,0.5433070866141733,0.5542168674698795,0.6004097048844503
2,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 45 3, 34 2, 21 4",61,83,36,70,0.576,0.5424836601307189,0.6974789915966386,0.6102941176470587,0.5882994419141703
2,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"950 1, 24 3, 13 2, 13 4",71,69,57,53,0.56,0.5655737704918032,0.5476190476190477,0.5564516129032259,0.5644521249359958
2,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,1000 1,78,50,82,40,0.512,0.5555555555555556,0.3787878787878788,0.45045045045045046,0.5020544427324088
1,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 239 3, 162 2, 99 4",84,67,50,49,0.604,0.5775862068965517,0.5726495726495726,0.575107296137339,0.6226463594884648
1,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"550 1, 216 3, 146 2, 88 4",84,66,47,53,0.6,0.5546218487394958,0.584070796460177,0.5689655172413793,0.6190814546863898
1,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 190 3, 137 2, 73 4",55,66,30,99,0.484,0.4,0.6875,0.5057471264367817,0.5696699134199134
1,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"650 1, 169 3, 116 2, 65 4",93,47,79,31,0.56,0.6025641025641025,0.373015873015873,0.4607843137254902,0.6108550947260624
1,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 147 3, 97 2, 56 4",64,66,40,80,0.52,0.4520547945205479,0.6226415094339622,0.5238095238095238,0.5880503144654089
1,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"750 1, 125 3, 79 2, 46 4",88,52,75,35,0.56,0.5977011494252874,0.4094488188976378,0.48598130841121495,0.6164138019332949
1,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 101 3, 68 2, 31 4",72,75,40,63,0.588,0.5434782608695652,0.6521739130434783,0.5928853754940712,0.6380676328502416
1,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"850 1, 78 3, 49 2, 23 4",80,66,58,46,0.584,0.5892857142857143,0.532258064516129,0.5593220338983049,0.5854454685099847
1,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 55 3, 31 2, 14 4",68,73,47,62,0.564,0.5407407407407407,0.6083333333333333,0.5725490196078431,0.5907051282051282
1,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"950 1, 28 3, 14 2, 8 4",78,76,51,45,0.616,0.628099173553719,0.5984251968503937,0.6129032258064517,0.6222392932590743
1,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,1000 1,82,42,93,33,0.496,0.56,0.3111111111111111,0.4,0.5957487922705315
23,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 249 3, 153 2, 98 4",81,58,48,63,0.556,0.4793388429752066,0.5471698113207547,0.5110132158590308,0.562303459119497
23,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"550 1, 226 3, 133 2, 91 4",85,55,63,47,0.56,0.5392156862745098,0.4661016949152542,0.5,0.5835901386748845
23,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 201 3, 121 2, 78 4",73,67,51,59,0.56,0.5317460317460317,0.5677966101694916,0.5491803278688525,0.5488572162300975
23,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"650 1, 174 3, 106 2, 70 4",69,61,50,70,0.52,0.46564885496183206,0.5495495495495496,0.5041322314049588,0.5575215503273057
23,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 152 3, 91 2, 57 4",75,63,48,64,0.552,0.49606299212598426,0.5675675675675675,0.5294117647058824,0.5909002527707563
23,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"750 1, 131 3, 72 2, 47 4",63,78,35,74,0.564,0.5131578947368421,0.6902654867256637,0.5886792452830188,0.6266391060009042
23,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 105 3, 56 2, 39 4",67,65,58,60,0.528,0.52,0.5284552845528455,0.5241935483870968,0.5753152807118623
23,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"850 1, 80 3, 40 2, 30 4",83,61,61,45,0.576,0.5754716981132075,0.5,0.5350877192982456,0.6079661885245902
23,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 48 3, 32 2, 20 4",90,50,87,23,0.56,0.684931506849315,0.36496350364963503,0.4761904761904763,0.6279310122085137
23,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"950 1, 25 3, 13 2, 12 4",71,72,48,59,0.572,0.549618320610687,0.6,0.5737051792828685,0.5905128205128204
23,Binary,Ab_ling_1998,pipeline 7-2024,TBD,Race: non hispanic white vs minority,1000 1,86,54,73,37,0.56,0.5934065934065934,0.4251968503937008,0.4954128440366973,0.5448434799308622
